104,Missouri S&T,1236,College,Men,Division III,South Central,Ozarks DIII,23,9,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Dd3uP0C1y4RrXD6Ueo4K8kzYgP5QhPcrliiM8NgZUaQ%3d
105,Texas Tech,1233,College,Men,Division I,South Central,North Texas DI,11,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=%2fllGY4z8SEq3TMf70Ks%2f0%2bWq9qwUQ4KulOJgAvJSVbo%3d
106,Baylor,1223,College,Men,Division I,South Central,North Texas DI,13,12,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=%2fhMdYtBiYzyqxRI118DU7WB1AVvTFdlH%2brOKM9ifkdI%3d
107,Kentucky,1213,College,Men,Division I,Great Lakes,East Plains DI,17,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=StDLJ4WNNKbOuEFa2GQJvORU3CJOcPSz9cSUOrOJ0gI%3d
108,East Carolina,1213,College,Men,Division I,Atlantic Coast,Carolina DI,13,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=HpplQReRlsE18NDzYK86xhLz2CiG0k0m28JfCFLkfzs%3d
109,Mississippi State,1212,College,Men,Division I,Southeast,Gulf Coast DI,20,14,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=7RPdZgW5HeH3eUw3IM1VANcfb9ZR01GFn3%2b4rBXugTI%3d
110,Pennsylvania,1210,College,Men,Division I,Ohio Valley,East Penn DI,18,12,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=NglNlAdvU68Kq%2f4JlMiG8kpYfOzJuthAvz2iBH05YBI%3d
111,Portland,1201,College,Men,Division III,Northwest,Northwest DIII,14,3,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=UbpY9gNyXh1d%2fetNYIl4BULDkrNZfe4h5QZiDgu%2b2PQ%3d
112,Wesleyan,1196,College,Men,Division III,Metro East,Hudson Valley DIII,19,6,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=S2LmT8NzdWIBLm5ozYxQCIFaDNTi31IGl58o%2fajhuZk%3d
113,Nebraska,1190,College,Men,Division I,North Central,West Plains DI,16,15,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=%2bk0tMKE8il9hZwyoa8biDVtCyr4b53PR88H92WxklCk%3d
114,Gonzaga,1190,College,Men,Division I,Northwest,Big Sky DI,6,7,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=0fHHFfm%2fOEGaGw9Fpe%2fy1SsHcm0159Rih5Zc4U6MO08%3d
115,Williams,1189,College,Men,Division III,New England,South New England DIII,19,15,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=EwKQBntUVknbbL5V6QUGFjUchD96QEIM4wry0bIs1R0%3d
116,SUNY-Stony Brook,1187,College,Men,Division I,Metro East,Metro NY DI,14,6,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=7l2eHuRwCoxuBQ33aE2WsJOsDXQgKnZHzmjoNRyOCZk%3d
117,Northern Arizona,1182,College,Men,Division I,Southwest,Desert DI,11,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=TZb9fyHmEyT4Lr6A7eYVpM%2fet1bBngtwMDJzI7EhRrI%3d
118,Case Western Reserve,1182,College,Men,Division I,Ohio Valley,Ohio DI,16,20,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=u4tLY5v6MYyGA5ulVCphI2qwJDSKKR374ath35Kd1KM%3d
119,North Texas,1181,College,Men,Division I,South Central,North Texas DI,20,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=mAzGHFtKHcCfjSy2Ep3Q56XAPJeEGMmn%2btS%2byUjiFEI%3d
120,RIT,1175,College,Men,Division I,Metro East,Western NY DI,15,8,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=he3JKFJN8lXouiI7pJCwOpmUkv6%2bYRXAZEvDvjkQfDI%3d
121,Luther,1172,College,Men,Division III,North Central,West Plains DIII,20,12,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=VxcpV%2fl0FzSAFdBkHz6uI%2fXSQdNW%2f0QvdfHkImpn1fc%3d
122,Elon,1162,College,Men,Division III,Atlantic Coast,Carolina DIII,15,9,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=R7J2epQheUacJYil1sS5f6IJyeNbPK%2fVUY76Pp%2bfows%3d
